report_id,report_type,description_raw,description_clean,site,activity,barrier_failure,iogp_life_saving_rule,risk_level,sif_potential,case_basis
NM_0278,Near Miss,Inspection revealed Excavation edge was not barricaded and underground utility mark-out was incomplete during Scaffold modification at Truck loading bay. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.,Inspection revealed Excavation edge was not barricaded and underground utility mark-out was incomplete during Scaffold modification at Truck loading bay. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.,Truck loading bay,Scaffold modification,Excavation edge was not barricaded and underground utility mark-out was incomplete,Working at Height,Medium,0,Line-of-fire controls
NM_0343,Near Miss,"Before/during Lifting and rigging at Maintenance yard, Isolation not verified. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.","Before/during Lifting and rigging at Maintenance yard, Isolation not verified. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.",Maintenance yard,Lifting and rigging,Isolation not verified,Energy Isolation,Medium,0,Fall from height
NM_0231,Near Miss,"During Wellhead valve maintenance at Compressor station, Drain cover was open and combustible vapour testing was not documented. Work was stopped temporarily and resumed after verification. Work was temporarily halted pending verification of the control measure.","During Wellhead valve maintenance at Compressor station, Drain cover was open and combustible vapour testing was not documented. Work was stopped temporarily and resumed after verification. Work was temporarily halted pending verification of the control measure.",Compressor station,Wellhead valve maintenance,Drain cover was open and combustible vapour testing was not documented,Hot Work,Medium,0,Energy isolation controls
NM_0365,Near Miss,"Before/during Loading/unloading operations at LPG bottling plant, Lift plan missing. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.","Before/during Loading/unloading operations at LPG bottling plant, Lift plan missing. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.",LPG bottling plant,Loading/unloading operations,Lift plan missing,Safe Mechanical Lifting,Medium,0,Hydrostatic testing incident
NM_0162,Near Miss,"Near-miss observation: while performing Forklift pallet handling at Wellsite, the team found that Pneumatic energy isolation was not locked and residual pressure remained in the line. The area was corrected immediately. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","Near-miss observation: while performing Forklift pallet handling at Wellsite, the team found that Pneumatic energy isolation was not locked and residual pressure remained in the line. The area was corrected immediately. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Wellsite,Forklift pallet handling,Pneumatic energy isolation was not locked and residual pressure remained in the line,Energy Isolation,Low,0,Furnace explosion precursor
NM_0694,Near Miss,"A Exclusion zone missing was identified during Process unit startup/shutdown at LPG bottling plant. Work was stopped urgently and emergency response was initiated. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","A Exclusion zone missing was identified during Process unit startup/shutdown at LPG bottling plant. Work was stopped urgently and emergency response was initiated. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",LPG bottling plant,Process unit startup/shutdown,Exclusion zone missing,Line of Fire,Critical,1,Hot-work controls
NM_0205,Near Miss,"Near-miss observation: while performing Lifting valve actuator at Gas processing unit, the team found that Atmosphere not tested. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.","Near-miss observation: while performing Lifting valve actuator at Gas processing unit, the team found that Atmosphere not tested. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.",Gas processing unit,Lifting valve actuator,Atmosphere not tested,Confined Space,Medium,0,Finger injury during handling
NM_0513,Near Miss,"During Sampling and testing at Refinery unit, Exclusion zone missing. Work was stopped due to potential serious injury risk. Work was halted due to high-risk exposure and corrective measures were implemented.","During Sampling and testing at Refinery unit, Exclusion zone missing. Work was stopped due to potential serious injury risk. Work was halted due to high-risk exposure and corrective measures were implemented.",Refinery unit,Sampling and testing,Exclusion zone missing,Line of Fire,High,1,Pinch-point controls
NM_0286,Near Miss,"Before/during Vessel entry preparation at LPG bottling plant, PPE not used. The job proceeded only after corrective measures. The supervisor reviewed the situation and approved continuation after correction.","Before/during Vessel entry preparation at LPG bottling plant, PPE not used. The job proceeded only after corrective measures. The supervisor reviewed the situation and approved continuation after correction.",LPG bottling plant,Vessel entry preparation,PPE not used,Confined Space,Medium,0,Pinch-point controls
NM_0464,Near Miss,A Spill containment missing was identified during Reversing vehicle operations at Drilling rig. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,A Spill containment missing was identified during Reversing vehicle operations at Drilling rig. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,Drilling rig,Reversing vehicle operations,Spill containment missing,Driving,High,1,Safety-control bypass
