report_text,sif_binary,label_source,category,risk_level,sif_label,facility,department,label,python predict_v3.py
Incident observation 24: Drove a site vehicle through an intersection during material movement created a vehicle collision. The driver was distracted by a phone. The reported outcome was a minor collision with a pedestrian injury. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Operations
Incident observation 414: Walked near a manual cart during a scheduled inspection created a near miss from moving cart. The cart was pushed before the path was clear. The reported outcome was no contact and no injury. The worker received a verbal reminder but continued.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Operations
Incident observation 864: Swept a dry work area during material movement created a minor dust exposure. A dust mask was not used for a short task. The reported outcome was temporary throat irritation that resolved after water. The pre-job checklist was incomplete.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Logistics
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Operations
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Logistics
,0,,,,,,,,Projects
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
Incident observation 1534: Walked near a manual cart during a scheduled inspection created a near miss from moving cart. The cart was pushed before the path was clear. The reported outcome was no contact and no injury. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
Incident observation 524: Operated a pneumatic tool while completing an urgent task created a noise exposure. Hearing protection was not worn. The reported outcome was temporary hearing symptoms requiring evaluation. The supervisor was not informed before the task started.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Projects
,0,,,,,,,,Projects
,0,,,,,,,,Projects
Incident observation 499: Used a non-hazardous cleaning solution during planned shutdown work created a minor skin irritation. Gloves were not worn for a short task. The reported outcome was temporary skin irritation resolved after washing. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Electrical Maintenance
Incident observation 234: Passed through a low-clearance area during a night shift created a minor bump. Warning markings were overlooked. The reported outcome was mild soreness with no treatment required. A safer method was available nearby.,0,original_trusted,,,,,,,
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Operations
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
"During normal production, a worker experienced minor chemical splash after they transferred cleaning chemical. The transfer nozzle was aimed incorrectly. Outcome: eye irritation treated at the eyewash station. The pre-job checklist was incomplete.",0,,Unsafe Act,Medium,Non-SIF,Warehouse,Logistics,1.0,
Incident observation 79: Reached for light materials while preparing equipment for service created a minor muscle discomfort. The task was performed with an awkward posture. The reported outcome was brief shoulder discomfort that resolved after stretching. A safer method was available nearby.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Operations
Incident observation 979: Handled sheet metal during planned shutdown work created a hand laceration. Cut-resistant gloves were not worn. The reported outcome was a deep cut requiring stitches. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
,0,,,,,,,,Operations
Incident observation 1159: Worked beneath a maintenance platform while preparing equipment for service created a falling-tool impact. Tools were not secured against dropping. The reported outcome was a shoulder injury requiring assessment. A safer method was available nearby.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
Incident observation 664: Moved a carton during material movement created a minor abrasion. A rough edge was not covered. The reported outcome was a small forearm abrasion cleaned on site. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
"While during a night shift, a worker passed through a low-clearance area. The unsafe act was that warning markings were overlooked. This led to minor bump; outcome was mild soreness with no treatment required. The pre-job checklist was incomplete.",0,original_trusted,,,,,,,
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
,0,,,,,,,,Electrical Maintenance
Incident observation 1504: Swept a dry work area during material movement created a minor dust exposure. A dust mask was not used for a short task. The reported outcome was temporary throat irritation that resolved after water. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
Incident observation 329: Used a vibrating hand tool during routine maintenance created a minor hand discomfort. The task continued longer than planned. The reported outcome was temporary tingling that resolved after stopping work. The worker received a verbal reminder but continued.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Logistics
Incident observation 1434: Used a portable ladder for a short task during a night shift created a ladder fall. The ladder was not secured. The reported outcome was an ankle fracture. A safer method was available nearby.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
Worker fell asleep at control panel during night shift. Process upset occurred. Alarms not responded to. Shift worker had worked 16 hours straight. No rest break taken. Fatigue management violation.,0,,Unsafe Act,Medium,Non-SIF,Central Control Room,Operations,1.0,
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
Incident observation 1044: Walked through a storage aisle while completing an urgent task created a minor trip. A small cable was left near the route. The reported outcome was a slight ankle twist with no lost work time. The supervisor was not informed before the task started.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
"Unsafe work report: a worker walked near a manual cart during a scheduled inspection. The cart was pushed before the path was clear, creating a near miss from moving cart event. Result: no contact and no injury. The pre-job checklist was incomplete.",0,,Unsafe Act,Low,Non-SIF,Workshop,Maintenance,1.0,
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Projects
"While during material movement, a worker swept a dry work area. The unsafe act was that a dust mask was not used for a short task. This led to minor dust exposure; outcome was temporary throat irritation that resolved after water. The supervisor was not informed before the task started.",0,original_trusted,,,,,,,
