python predict_v3.py
report_text,category,risk_level,sif_label,sif_binary,facility,department
"During a night shift, a worker stopped the machine, energy sources were isolated and locked out, and verified zero energy before work. and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
Forklift attachment fell while changing. Worker underneath - crushed. Multiple fractures - died later. Attachment not secured. Worker placed body under load. No cribbing used. Unsafe practice. Supervisor absent.,Unsafe Act,High,SIF,1,Equipment Storage Area,Logistics
"During a night shift, a worker entered a confined space without testing the atmosphere and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During routine maintenance, a worker reached into a moving machine without energy isolation causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During routine maintenance, a worker opened an electrical panel after confirming the panel was dead and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a scheduled inspection, a worker operated a forklift with seatbelt properly worn and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a night shift, a worker opened an electrical panel without verifying zero voltage and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During planned shutdown work, a worker opened an electrical panel with verified zero energy state and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During a scheduled inspection, a worker operated a forklift wearing the seatbelt and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker opened an electrical panel while energized resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During routine maintenance, a worker worked at height on an elevated platform with a harness and connected lanyard and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During planned shutdown work, a worker operated a forklift with seatbelt in use and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During a night shift, a worker performed welding with a valid hot-work permit and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During a scheduled inspection, a worker inspected rotating equipment with the protective guard installed and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker entered a confined space without a confined-space permit and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a scheduled inspection, a worker worked at height on an elevated platform with no harness attached and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a scheduled inspection, a worker opened an electrical panel after de-energizing and verifying zero voltage and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During planned shutdown work, a worker remained outside the exclusion zone while a load was suspended overhead at a safe distance from the load. and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During normal production, a worker operated a forklift with the seatbelt fastened and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During planned shutdown work, a worker reached into a moving machine without energy isolation and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During a night shift, a worker stood directly below a suspended load beneath the load in the restricted area and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During normal production, a worker performed welding without a hot-work permit and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"While completing an urgent task, a worker entered a confined space after confirming safe oxygen levels and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During a scheduled inspection, a worker worked at height on an elevated platform with a harness and connected lanyard and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During planned shutdown work, a worker inspected rotating equipment with all guards in place and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
Rotating equipment started while worker was cleaning. Worker's long hair caught in shaft. Scalped - severe injury. Equipment not locked out. Co-worker hit stop button by chance. No hair restraint used.,Unsafe Act,High,SIF,1,Process Equipment Area,Operations Mechanical
