report_id,report_type,report_date,site,unit,activity,description_clean,sif_label,binary_sif,sif_probability,life_saving_rules,hazard_energy,barrier_failure,credible_consequence,recommended_action,evidence_text,status
OIL-UC-0101,unsafe conditions,02-08-2026,Duliajan Oilfield,Wellhead Cluster 4,Wellhead pressure monitoring,H2S gas detector alarm at wellhead cluster found set to silent/bypass mode during routine patrol; no work order raised to restore audible alarm.,High,1,0.64,Process Safety; Confined Space,Chemical/Process,Absent - audible gas alarm deliberately bypassed with no restoration order,"Undetected H2S release exposes crew to toxic gas without warning, potential fatality","Restore alarm immediately, investigate why it was bypassed, add bypass-detection check to daily patrol checklist",alarm ... found set to silent/bypass mode,Resolved
OIL-UC-0102,unsafe conditions,05-08-2026,Digboi Refinery,Crude Distillation Unit,Piping inspection,"External corrosion observed on a process piping elbow near CDU, insulation jacket torn and inspection tag shows date overdue by 6 months.",High,1,0.6,Process Safety,Chemical/Process,Degraded - mechanical integrity inspection overdue on a corroding pressure boundary,"Loss of containment of hydrocarbon under pressure, fire or toxic release",Schedule urgent NDT inspection of the elbow; review overdue inspection backlog for the unit,inspection tag shows date overdue by 6 months,Open
OIL-UC-0103,unsafe conditions,09-08-2026,Jorhat Operations,33kV Substation,Electrical maintenance walkdown,Cable gland at substation switchgear found cracked with visible insulation exposed; area not cordoned off or tagged out.,High,1,0.58,Energy Isolation,Electrical,Absent - no isolation or barricade around exposed live conductor,Arc-flash or electrocution to personnel passing near the switchgear,"Isolate and de-energize immediately, barricade area, replace gland before re-energizing",insulation exposed; area not cordoned off,Open
OIL-UC-0104,unsafe conditions,12-08-2026,Moran Oilfield,Mud Pit Platform,Mud circulation monitoring,"Guardrail section on mud pit platform (working height 2.2 m) missing after recent maintenance, no barricade or warning tape installed in its place.",High,1,0.53,Line of Fire,Gravity,Absent - fall-prevention barrier removed and not reinstated,"Fall from height into mud pit, drowning or fall-impact injury","Install temporary barricade now, reinstate guardrail before next shift, add post-maintenance handover checklist item",guardrail section ... missing ... no barricade or warning tape,Open
OIL-UC-0105,unsafe conditions,15-08-2026,Offshore Rig-04,Main Deck Crane,Heavy lift / material transfer,"Crane sling for the main deck lift showing frayed strands beyond the discard criteria in the rigging inspection log, still in active use.",Critical,1,0.71,Line of Fire; Lifting Operations,Mechanical (suspended load),Absent - defective rigging in service past discard criteria,"Sling failure drops suspended load onto deck crew, potential fatality","Stop the lift, quarantine and replace the sling immediately, audit all rigging gear against discard criteria",frayed strands beyond the discard criteria,Resolved
OIL-UC-0106,unsafe conditions,18-08-2026,Guwahati Pipeline Station,Valve Station 2,Cathodic protection monitoring,Cathodic protection rectifier at Valve Station 2 reading zero output for over a week; corrosion monitoring log shows no follow-up action logged.,Medium,1,0.36,Process Safety,Chemical/Process,Absent - corrosion-prevention barrier non-functional with no compensating inspection,Accelerated external corrosion leading to pipeline wall loss and eventual leak,"Repair rectifier urgently, run interim manual corrosion survey, escalate to pipeline integrity team",reading zero output for over a week,Open
OIL-UC-0107,unsafe conditions,21-08-2026,Duliajan Oilfield,Produced Water Tank,Confined space entry preparation,Confined space entry permit for produced water tank cleaning issued without a documented gas test result in the last 2 hours as required by procedure.,High,1,0.55,Confined Space; Work Authorisation,Chemical/Process,Degraded - permit approval process bypassed the mandatory gas-test verification step,"Entry into an unverified atmosphere, asphyxiation or toxic exposure","Halt entry, perform gas test immediately, reissue permit only after verified reading, retrain permit issuers",issued without a documented gas test result,Open
OIL-UC-0108,unsafe conditions,24-08-2026,Digboi Refinery,Flare Stack Area,Flare system monitoring,Flare pilot light monitoring camera at the refinery flare stack found non-functional for 5 days; control room relying on periodic visual walk-checks only.,Medium,1,0.31,Process Safety,Thermal,Degraded - continuous pilot-monitoring barrier replaced by infrequent manual checks,Undetected flare-out allows unburned flammable gas release to atmosphere,"Repair monitoring camera, increase interim visual-check frequency, log compensating measure in shift handover",camera ... found non-functional for 5 days,Open
OIL-UC-0109,unsafe conditions,27-08-2026,Jorhat Operations,Forklift Battery Charging Bay,Battery charging,Forklift battery charging bay found with charging in progress despite the ventilation extractor fan being switched off due to a tripped breaker.,Medium,1,0.34,Energy Isolation,Chemical/Process (hydrogen off-gas),Absent - ventilation control not functioning during an active charging operation,"Hydrogen off-gas accumulation in an unventilated bay, explosion risk from a stray spark","Stop charging until ventilation restored, reset/repair breaker, add ventilation-status check to charging SOP",ventilation extractor fan being switched off,Resolved
OIL-UC-0110,unsafe conditions,30-08-2026,Moran Oilfield,Drilling Rig Floor,Blowout preventer readiness check,"BOP (blowout preventer) function test at the drilling rig found overdue against the scheduled interval, well continuing to be drilled without the test being performed.",Critical,1,0.74,Process Safety; Well Control,Chemical/Process (well pressure),Absent - critical well-control barrier readiness unverified while operations continue,"BOP failure during a well-control event leads to uncontrolled blowout, fire, and multiple fatalities","Suspend drilling, perform BOP function test immediately, do not resume until verified pass",function test ... found overdue ... drilled without the test being performed,Open
OIL-UC-0111,unsafe conditions,10-01-2026,Duliajan Oilfield,Wellpad 12,Well testing,Pressure gauge on wellhead choke manifold found with cracked glass face and no isolation valve tested in past 6 months.,High,1,0.56,Process Safety,Mechanical/Pressure,Degraded - gauge integrity untested,Gauge failure masks true wellhead pressure leading to overpressure event,Replace gauge and test isolation valve immediately,cracked glass face,Open
OIL-UC-0112,unsafe conditions,15-01-2026,Duliajan Oilfield,Separator Station,Oil-water separation,"Relief valve on production separator found rusted shut during walkdown, unable to lift when manually tested.",Critical,1,0.7,Process Safety,Mechanical/Pressure,Absent - relief valve non-functional,Separator overpressure causing vessel rupture,Isolate and replace relief valve before restart,rusted shut ... unable to lift,Open
OIL-UC-0113,unsafe conditions,20-01-2026,Digboi Refinery,Hydrocracker Unit,Catalyst handling,Nitrogen purge line for catalyst regeneration found with a damaged check valve allowing possible backflow of hydrocarbon vapor.,High,1,0.52,Process Safety,Chemical/Process,Degraded - backflow prevention barrier damaged,Hydrocarbon vapor ingress into nitrogen system causing explosive atmosphere,Replace check valve and pressure-test purge line,damaged check valve allowing possible backflow,Resolved
OIL-UC-0114,unsafe conditions,25-01-2026,Digboi Refinery,Tank Farm,Product blending,Static electricity bonding cable at the blending manifold found disconnected at one end.,High,1,0.5,Energy Isolation; Static Control,Electrical (static),Absent - bonding continuity broken,Static discharge ignites flammable vapor during blending,Reconnect and test bonding cable before next blend,bonding cable ... found disconnected,Open
OIL-UC-0115,unsafe conditions,30-01-2026,Jorhat Operations,Workshop,Grinding operation,Grinding wheel guard on bench grinder found removed; operator observed working without eye protection nearby.,Medium,1,0.3,Line of Fire,Mechanical,Absent - machine guard removed,Flying debris or wheel fragment injury to eyes/face,Reinstall guard immediately and stop use until fixed,guard ... found removed,Open
OIL-UC-0116,unsafe conditions,04-02-2026,Jorhat Operations,Diesel Generator Yard,Backup power testing,Diesel generator exhaust routed close to a flammable material storage shed with less than 1 m clearance.,Medium,1,0.33,Process Safety,Thermal,Absent - safe separation distance not maintained,Hot exhaust ignites stored flammable material,Relocate storage or reroute exhaust to meet clearance standard,less than 1 m clearance,Open
OIL-UC-0117,unsafe conditions,09-02-2026,Moran Oilfield,Rig Substructure,Rig up activity,Scaffold plank on rig substructure found split and taped over rather than replaced.,High,1,0.48,Line of Fire,Gravity,Degraded - structural integrity of working platform compromised,Plank failure causes fall from height,"Replace plank, inspect full scaffold before further use",split and taped over rather than replaced,Resolved
OIL-UC-0118,unsafe conditions,14-02-2026,Moran Oilfield,Mud Logging Cabin,Gas monitoring,Combustible gas detector inside mud logging cabin showing 'sensor fault' error for over 24 hours with no replacement sensor requested.,High,1,0.51,Process Safety,Chemical/Process,Absent - gas detection barrier down inside occupied cabin,Undetected gas influx into occupied space,"Replace sensor urgently, evacuate cabin if fault persists",sensor fault' error for over 24 hours,Open
