report_id,site,activity,description_raw,binary_sif,sif_probability,priority
OIL-UC-0101,Duliajan Oilfield,Wellhead pressure monitoring,H2S gas detector alarm at wellhead cluster found set to silent/bypass mode during routine patrol; no work order raised to restore audible alarm.,1,0.64,High
OIL-UC-0102,Digboi Refinery,Piping inspection,"External corrosion observed on a process piping elbow near CDU, insulation jacket torn and inspection tag shows date overdue by 6 months.",1,0.6,High
OIL-UC-0103,Jorhat Operations,Electrical maintenance walkdown,Cable gland at substation switchgear found cracked with visible insulation exposed; area not cordoned off or tagged out.,1,0.58,Medium
OIL-UC-0104,Moran Oilfield,Mud circulation monitoring,"Guardrail section on mud pit platform (working height 2.2 m) missing after recent maintenance, no barricade or warning tape installed in its place.",1,0.53,Medium
OIL-UC-0105,Offshore Rig-04,Heavy lift / material transfer,"Crane sling for the main deck lift showing frayed strands beyond the discard criteria in the rigging inspection log, still in active use.",1,0.71,High
OIL-UC-0106,Guwahati Pipeline Station,Cathodic protection monitoring,Cathodic protection rectifier at Valve Station 2 reading zero output for over a week; corrosion monitoring log shows no follow-up action logged.,1,0.36,Medium
OIL-UC-0107,Duliajan Oilfield,Confined space entry preparation,Confined space entry permit for produced water tank cleaning issued without a documented gas test result in the last 2 hours as required by procedure.,1,0.55,Medium
OIL-UC-0108,Digboi Refinery,Flare system monitoring,Flare pilot light monitoring camera at the refinery flare stack found non-functional for 5 days; control room relying on periodic visual walk-checks only.,1,0.31,Medium
OIL-UC-0109,Jorhat Operations,Battery charging,Forklift battery charging bay found with charging in progress despite the ventilation extractor fan being switched off due to a tripped breaker.,1,0.34,Medium
OIL-UC-0110,Moran Oilfield,Blowout preventer readiness check,"BOP (blowout preventer) function test at the drilling rig found overdue against the scheduled interval, well continuing to be drilled without the test being performed.",1,0.74,High
OIL-UC-0111,Duliajan Oilfield,Well testing,Pressure gauge on wellhead choke manifold found with cracked glass face and no isolation valve tested in past 6 months.,1,0.56,Medium
OIL-UC-0112,Duliajan Oilfield,Oil-water separation,"Relief valve on production separator found rusted shut during walkdown, unable to lift when manually tested.",1,0.7,High
OIL-UC-0113,Digboi Refinery,Catalyst handling,Nitrogen purge line for catalyst regeneration found with a damaged check valve allowing possible backflow of hydrocarbon vapor.,1,0.52,Medium
OIL-UC-0114,Digboi Refinery,Product blending,Static electricity bonding cable at the blending manifold found disconnected at one end.,1,0.5,Medium
OIL-UC-0115,Jorhat Operations,Grinding operation,Grinding wheel guard on bench grinder found removed; operator observed working without eye protection nearby.,1,0.3,Medium
OIL-UC-0116,Jorhat Operations,Backup power testing,Diesel generator exhaust routed close to a flammable material storage shed with less than 1 m clearance.,1,0.33,Medium
OIL-UC-0117,Moran Oilfield,Rig up activity,Scaffold plank on rig substructure found split and taped over rather than replaced.,1,0.48,Medium
OIL-UC-0118,Moran Oilfield,Gas monitoring,Combustible gas detector inside mud logging cabin showing 'sensor fault' error for over 24 hours with no replacement sensor requested.,1,0.51,Medium
OIL-UC-0119,Offshore Rig-04,Helicopter operations,Helideck firefighting foam monitor found with expired inspection tag and low foam concentrate level.,1,0.65,High
OIL-UC-0120,Offshore Rig-04,Mud pumping,Mud pump room ventilation fan found seized; room temperature significantly elevated during operation.,1,0.29,Low
OIL-UC-0121,Guwahati Pipeline Station,Pigging operation,"Pig launcher pressure gauge and vent valve found with no recent calibration record, launcher opened without confirming zero pressure via a second method.",1,0.6,High
OIL-UC-0122,Guwahati Pipeline Station,Custody transfer metering,"Metering skid enclosure found with door interlock defeated using tape, allowing access while skid was energized.",1,0.35,Medium
OIL-UC-0123,Duliajan Oilfield,Flowline inspection,"Flowline right-of-way found with unauthorized excavation by a third party within 5 m of the pipeline, no OIL representative present.",1,0.49,Medium
OIL-UC-0124,Duliajan Oilfield,Compression operation,"Compressor vibration monitoring system alarm disabled by operator to avoid nuisance trips during a difficult startup, not re-enabled after startup completed.",1,0.5,Medium
OIL-UC-0125,Digboi Refinery,Steam generation,Boiler safety valve test overdue by 3 months; boiler continues to operate at full pressure.,1,0.68,High
OIL-UC-0126,Digboi Refinery,Wastewater handling,Handrail around the aeration tank at ETP found corroded through in one section.,1,0.31,Medium
OIL-UC-0127,Jorhat Operations,Drum storage,Flammable liquid drums stored in the open yard without secondary containment or spill berm.,1,0.3,Medium
OIL-UC-0128,Jorhat Operations,Vehicle jacking/lifting,Vehicle lift found operating past its annual load-test certification date with no re-test scheduled.,1,0.28,Low
OIL-UC-0129,Moran Oilfield,Snubbing operation,"Snubbing unit anchor bolts found loose during pre-job inspection, job proceeding on schedule without torque re-check.",1,0.66,High
OIL-UC-0130,Moran Oilfield,Diesel storage,Diesel storage tank at field camp found without a fire extinguisher within the mandated 15 m radius.,0,0.15,Low
OIL-UC-0131,Offshore Rig-04,Fire safety systems,"Smoke detector in accommodation corridor found covered with tape, apparently to stop false alarms.",1,0.33,Medium
OIL-UC-0132,Offshore Rig-04,ROV operations,"Moon pool guard grating found with a missing panel section, unguarded opening over open water.",1,0.47,Medium
OIL-UC-0133,Guwahati Pipeline Station,Remote monitoring,"SCADA leak-detection software flagged as running on an unsupported, unpatched version for over a year.",1,0.32,Medium
OIL-UC-0134,Guwahati Pipeline Station,Emergency shutdown testing,"Remote-operated block valve failed to close fully during scheduled ESD test, left in partially open position afterward.",1,0.62,High
OIL-UC-0135,Duliajan Oilfield,Tank gauging,"Tank overfill protection (independent high-high level switch) on Tank 3 found bypassed with a jumper wire during a previous maintenance activity, not removed.",1,0.7,High
OIL-UC-0136,Duliajan Oilfield,Heavy vehicle movement,"Access road to Wellpad 7 has a washed-out culvert crossing after recent rain, heavy vehicles continuing to use the route.",1,0.3,Medium
OIL-UC-0137,Digboi Refinery,Cylinder filling,"LPG cylinder filling scale found reading inconsistently, operators compensating by filling 'by feel' rather than recalibrating.",1,0.45,Medium
OIL-UC-0138,Digboi Refinery,Water treatment,"Cooling tower access platform found with algae buildup making the walking surface visibly slippery, no anti-slip treatment applied.",0,0.14,Low
OIL-UC-0139,Jorhat Operations,Material storage,"Pallet racking at the warehouse found with a bent support beam on the second level, no inspection or load-reduction action taken.",1,0.34,Medium
OIL-UC-0140,Jorhat Operations,Cylinder storage,Oxygen and acetylene cylinders found stored together in the same cage without the required separation distance.,1,0.3,Medium
OIL-UC-0141,Moran Oilfield,Well testing,Well test separator pressure relief discharge line found routed toward an occupied walkway rather than to a safe location.,1,0.46,Medium
OIL-UC-0142,Moran Oilfield,Tanker unloading,Tanker unloading bay found without a wheel chock in use while hose connection was in progress.,1,0.27,Low
OIL-UC-0143,Offshore Rig-04,Emergency preparedness,"Lifeboat davit found with a hydraulic fluid leak, lowering mechanism response noticeably slower than normal during routine drill.",1,0.44,Medium
OIL-UC-0144,Offshore Rig-04,Pipe handling,"Pipe handling elevator latch found not engaging fully on inspection, crew reported compensating manually.",1,0.5,Medium
OIL-UC-0145,Guwahati Pipeline Station,Fire protection,"Fire water pump found in 'manual only' mode with auto-start disabled, no compensating watch posted.",1,0.6,High
OIL-UC-0146,Guwahati Pipeline Station,Site security,"Section of perimeter fence near the valve station found breached, unrestricted access to a high-pressure area.",1,0.29,Low
OIL-UC-0147,Duliajan Oilfield,Artificial lift operation,"Sucker rod pumping unit counterweight guard found missing, unit continuing to operate in automatic mode.",1,0.48,Medium
OIL-UC-0148,Duliajan Oilfield,Corrosion inhibitor injection,"Chemical injection skid found with a leaking pump seal, corrosion inhibitor pooling on the skid deck without secondary containment.",1,0.28,Low
OIL-UC-0149,Digboi Refinery,Inert gas supply,"Confined space warning signage at nitrogen plant vessel entry found faded and illegible, no interim signage posted.",1,0.31,Medium
OIL-UC-0150,Digboi Refinery,Hydrogen compression,Hydrogen leak detection tape near a compressor flange found discolored (indicating a past leak) but no corrective work order raised.,1,0.53,Medium
OIL-UC-0151,Jorhat Operations,Emergency response readiness,"Fire tender at Jorhat operations found with hydraulic pump pressure below operational minimum, vehicle still listed as 'ready' on the readiness board.",1,0.63,High
OIL-UC-0152,Jorhat Operations,Safety training facility,Fire extinguisher training rig at the training center found with an expired propane cylinder used for live-fire demonstrations.,1,0.27,Low
OIL-UC-0153,Moran Oilfield,Well cementing operation,"Cementing unit high-pressure hose found with a visible bulge near the coupling, unit continuing pumping operations.",1,0.67,High
OIL-UC-0154,Moran Oilfield,Power generation,"Generator shed found with accumulated oily rags near the exhaust manifold, no spontaneous-combustion housekeeping check performed.",1,0.26,Low
OIL-UC-0155,Offshore Rig-04,Rig stability management,"Ballast control system alarm for tank level deviation found silenced by operator during a busy period, not reactivated after the period ended.",1,0.6,High
OIL-UC-0156,Offshore Rig-04,Drilling fluid additives,"Chemical storage container on deck found with door seal damaged, allowing seawater ingress observed pooling around drums.",1,0.28,Low
OIL-UC-0157,Guwahati Pipeline Station,Gas odorization,"Odorant injection pump found with output significantly below the calibrated rate, gas odor levels downstream noted as 'faint' by field crew.",1,0.46,Medium
OIL-UC-0158,Guwahati Pipeline Station,Alarm management,"Control room alarm system found with over 40 standing/unacknowledged alarms accumulated, operators reportedly no longer reviewing individual alarms.",1,0.5,Medium
OIL-UC-0159,Duliajan Oilfield,Well perforation prep,Perforating gun storage magazine found with the required lightning protection grounding strap disconnected.,1,0.66,High
OIL-UC-0160,Duliajan Oilfield,Water injection,"Reinjection wellhead pressure relief system found with the relief line outlet blocked by dried sediment, discovered during routine test.",1,0.5,Medium
OIL-UC-0200,Duliajan Oilfield,General housekeeping,"Fire exit route in the admin building found partially obstructed by stacked stationery boxes, exit door itself unobstructed and functional.",0,0.12,Low
OIL-UC-0201,Digboi Refinery,Food service area,"Canteen floor near the beverage counter found with a small water spill, no wet-floor sign placed for about 10 minutes before being noticed.",0,0.1,Low
OIL-UC-0202,Jorhat Operations,General facility upkeep,"Ceiling tile in the administrative corridor found slightly discolored from a past minor roof leak, no active leak observed and area is non-electrical.",0,0.08,Low
OIL-UC-0203,Moran Oilfield,Rest area,Break room noticeboard found with an outdated safety poster still displayed alongside current ones.,0,0.05,Low
OIL-UC-0204,Offshore Rig-04,Crew welfare,"Recreation room chair found with a slightly loose leg, wobble noted but not a fall risk during normal use.",0,0.07,Low
OIL-UC-0205,Guwahati Pipeline Station,Administrative area,"Visitor sign-in register found with several entries missing the mandatory safety induction checkbox, though inductions were verbally confirmed by staff.",0,0.09,Low
OIL-UC-0206,Duliajan Oilfield,Inventory storage,Non-hazardous spare parts store found with boxes stacked slightly above the recommended height line marked on the wall.,0,0.11,Low
OIL-UC-0207,Digboi Refinery,Grounds maintenance,Garden hose left across a low-traffic pedestrian path near the landscaped area outside the main gate.,0,0.06,Low
OIL-UC-0208,Jorhat Operations,Employee parking,"Employee two-wheeler parking area found with uneven gravel surface in one corner, away from vehicle movement paths.",0,0.08,Low
OIL-UC-0209,Moran Oilfield,Camp facilities,Camp laundry room found with a lint buildup inside the dryer vent noted during a routine facilities check.,0,0.13,Low
OIL-UC-0210,Offshore Rig-04,Crew welfare,"Utility room shelf found slightly overloaded with cleaning supplies, within the room's overall weight capacity.",0,0.05,Low
OIL-UC-0211,Guwahati Pipeline Station,Facility upkeep,"Bicycle shed roof found with a minor rust patch, no leak or structural concern identified.",0,0.04,Low
OIL-UC-0212,Duliajan Oilfield,Communication,HSE notice board found with the monthly safety statistics poster one week overdue for update.,0,0.06,Low
OIL-UC-0213,Digboi Refinery,Vehicle parking,Admin building parking lot found with faded lane-marking paint in the visitor section.,0,0.07,Low
OIL-UC-0214,Jorhat Operations,Site access,"Security gate logbook found with a pen missing, guard used a personal pen to maintain the log without interruption.",0,0.03,Low
OIL-UC-0215,Moran Oilfield,Equipment drying area,"Small puddle of rainwater found in the equipment drying yard, away from any electrical or process equipment.",0,0.05,Low
OIL-UC-0216,Digboi Refinery,H2S stripping,Amine unit H2S monitoring system found completely offline for 2 days with no interim monitoring plan implemented.,1,0.72,High
OIL-UC-0217,Duliajan Oilfield,Gas well testing,"High-pressure gas well choke manifold found with two of three isolation valves seized open, unable to isolate well in an emergency.",1,0.75,High
OIL-UC-0218,Offshore Rig-04,Platform-wide monitoring,"Platform-wide fixed gas detection network found with the central controller displaying a persistent fault code, no alarms reaching the control room for over 12 hours.",1,0.73,High
OIL-UC-0219,Guwahati Pipeline Station,Pipeline isolation,"Mainline block valve actuator found with a failed pneumatic supply line, valve unable to be remotely closed during the monthly ESD test.",1,0.7,High
OIL-UC-0220,Moran Oilfield,Well control equipment,"Kick detection flow sensors on the drilling rig found giving erratic readings during active drilling, crew relying on visual pit-level checks only.",1,0.69,High
OIL-UC-0221,Digboi Refinery,Sulphur processing,"Sulphur recovery unit tail gas incinerator found operating with its flame-failure detection system disabled after a false-trip incident, not yet re-enabled.",1,0.68,High
OIL-UC-0222,Duliajan Oilfield,Pump operation,"Pump station overpressure trip (PSHH) found bypassed at the DCS level during a vendor software update, bypass not removed after update completed.",1,0.71,High
OIL-UC-0223,Jorhat Operations,Hazardous material storage,"Chemical warehouse sprinkler system found with the main control valve closed and tagged 'under maintenance' with no completion date, warehouse remaining in full operational use.",1,0.66,High
OIL-UC-0224,Offshore Rig-04,Subsea safety valve,"Subsea safety valve (SCSSV) test found overdue by 4 months, well continuing production without the test being performed.",1,0.74,High
OIL-UC-0225,Guwahati Pipeline Station,Product transfer,LPG transfer point found with the emergency shutdown pull-cord physically disconnected from the shutdown valve linkage.,1,0.7,High
OIL-UC-0226,Duliajan Oilfield,Chlorination,"Chlorine gas cylinder changeover area found with the emergency chlorine leak detector's audible alarm volume set very low, barely audible over ambient plant noise.",1,0.37,Medium
OIL-UC-0227,Digboi Refinery,Piping support,"Pipe rack support beam found with visible surface rust at a load-bearing weld, no structural assessment yet requested.",1,0.35,Medium
OIL-UC-0228,Jorhat Operations,Vehicle refueling,"Diesel fuel island nozzle found with a slow drip after release, small stain accumulating on the ground beneath.",1,0.42,Medium
OIL-UC-0229,Moran Oilfield,Instrument air supply,Instrument air compressor found with its low-pressure alarm setpoint miscalibrated to trigger well below the level needed to maintain fail-safe valve positions.,1,0.47,Medium
OIL-UC-1000,Duliajan Oilfield,Contractor oversight visit,Noticeboard near Workover Rig Site displaying a safety poster overdue for its 3-month scheduled update.,0,0.07,Low
OIL-UC-1001,Digboi Refinery,Contractor oversight visit,"Walkway near Benzene Storage Tank Farm found with a small patch of loose gravel, 8 metres from any vehicle or process route.",0,0.13,Low
OIL-UC-1002,Jorhat Operations,Pre-operation verification,"Storage shelf near Central Workshop found with non-hazardous spares stacked slightly above the marked height line, about 39 cm over.",0,0.03,Low
OIL-UC-1003,Moran Oilfield,Audit/compliance walkthrough,"Chair in the rest area near Mud Logging Cabin found with a slightly loose leg, wobble noted but stable under normal use, reported 16 days ago.",0,0.11,Low
OIL-UC-1004,Offshore Rig-04,Pre-operation verification,"Faded lane-marking paint observed near the Helideck parking area, visibility reduced by roughly 36%.",0,0.06,Low
OIL-UC-1005,Guwahati Pipeline Station,Emergency-readiness drill prep,"Small water stain noted on a ceiling tile near LCNG/LNG Dispensing Station, traced to an old, now-repaired roof leak; no active leak for over 2 weeks.",0,0.13,Low
OIL-UC-1006,Duliajan Oilfield,Shift changeover check,"Visitor log near Perforating Gun Store found with 23 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",0,0.05,Low
OIL-UC-1007,Digboi Refinery,Routine inspection round,"Garden hose found coiled loosely across a low-traffic pedestrian path near Boiler House, left out for approximately 8 hours.",0,0.08,Low
OIL-UC-1008,Jorhat Operations,Audit/compliance walkthrough,"Lint buildup observed inside a utility dryer vent near Diesel Fuel Island, last cleaned approximately 24 months ago.",0,0.06,Low
OIL-UC-1009,Moran Oilfield,Audit/compliance walkthrough,"Utility shelf near Telescopic Mast Assembly found with cleaning supplies stacked neatly but close to the marked capacity line, about 31% full.",0,0.05,Low
OIL-UC-1010,Offshore Rig-04,Shift changeover check,"Small puddle of rainwater observed near Catwalk / V-Door, 37 metres away from any electrical or process equipment.",0,0.14,Low
OIL-UC-1011,Guwahati Pipeline Station,Scheduled maintenance walkdown,"Outdated version of a general facility map displayed near 220kV Cable Trench (RCC), superseded layout approximately 38 months old.",0,0.12,Low
OIL-UC-1012,Duliajan Oilfield,Routine inspection round,"Bicycle/scooter parking area near Central Tank Farm found with uneven surface in one corner, away from any vehicle movement path, noted 20 days ago.",0,0.14,Low
OIL-UC-1013,Digboi Refinery,Pre-operation verification,Security logbook near Battery Room found with a supply gap (pen missing) for about 19 hours; log itself was maintained without interruption.,0,0.11,Low
OIL-UC-1014,Jorhat Operations,Shift changeover check,"Minor rust patch observed on a non-structural roof panel near Fire Station, no leak or structural concern identified over 25 months of monitoring.",0,0.06,Low
OIL-UC-1015,Moran Oilfield,Audit/compliance walkthrough,"Break-room refrigerator near Telescopic Mast Assembly found running slightly warm (6 degrees above setpoint), no food-safety incident reported.",0,0.11,Low
OIL-UC-1016,Offshore Rig-04,Pre-operation verification,Signage near Helideck directing to the muster point found slightly faded but still legible from 12 metres.,0,0.08,Low
OIL-UC-1017,Guwahati Pipeline Station,Emergency-readiness drill prep,"Non-critical spare-parts bin near SCADA Control Room found unlabeled for approximately 22 weeks, contents still identifiable by staff.",0,0.13,Low
OIL-UC-1018,Duliajan Oilfield,Emergency-readiness drill prep,Low-traffic footpath near Central Tank Farm found with overgrown vegetation encroaching about 4 cm into the walkway.,0,0.07,Low
OIL-UC-1019,Digboi Refinery,Audit/compliance walkthrough,Notice board near Reboiler Furnace Bay found with 15 outdated circulars still pinned alongside current ones.,0,0.14,Low
OIL-UC-1020,Jorhat Operations,Pre-operation verification,Noticeboard near Fire Station displaying a safety poster overdue for its 33-month scheduled update.,0,0.15,Low
OIL-UC-1021,Moran Oilfield,Shift changeover check,"Walkway near Well Test Separator found with a small patch of loose gravel, 11 metres from any vehicle or process route.",0,0.05,Low
OIL-UC-1022,Offshore Rig-04,Shift changeover check,"Storage shelf near SPM Mooring Buoy Support Vessel found with non-hazardous spares stacked slightly above the marked height line, about 36 cm over.",0,0.13,Low
OIL-UC-1023,Guwahati Pipeline Station,Scheduled maintenance walkdown,"Chair in the rest area near Pipeline ROW River Crossing found with a slightly loose leg, wobble noted but stable under normal use, reported 25 days ago.",0,0.16,Low
OIL-UC-1024,Duliajan Oilfield,Emergency-readiness drill prep,"Faded lane-marking paint observed near the Water Treatment Plant parking area, visibility reduced by roughly 7%.",0,0.04,Low
OIL-UC-1025,Digboi Refinery,Emergency-readiness drill prep,"Small water stain noted on a ceiling tile near Benzene Storage Tank Farm, traced to an old, now-repaired roof leak; no active leak for over 12 weeks.",0,0.12,Low
OIL-UC-1026,Jorhat Operations,Pre-operation verification,"Visitor log near Central Workshop found with 26 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",0,0.11,Low
OIL-UC-1027,Moran Oilfield,Audit/compliance walkthrough,"Garden hose found coiled loosely across a low-traffic pedestrian path near Camp Site, left out for approximately 18 hours.",0,0.14,Low
OIL-UC-1028,Offshore Rig-04,Emergency-readiness drill prep,"Lint buildup observed inside a utility dryer vent near Catwalk / V-Door, last cleaned approximately 36 months ago.",0,0.06,Low
OIL-UC-1029,Guwahati Pipeline Station,Shift changeover check,"Utility shelf near 220kV Cable Trench (RCC) found with cleaning supplies stacked neatly but close to the marked capacity line, about 9% full.",0,0.09,Low
OIL-UC-1030,Duliajan Oilfield,Audit/compliance walkthrough,"Small puddle of rainwater observed near Wellhead Cluster 3, 18 metres away from any electrical or process equipment.",0,0.13,Low
OIL-UC-1031,Digboi Refinery,Emergency-readiness drill prep,"Outdated version of a general facility map displayed near Reboiler Furnace Bay, superseded layout approximately 21 months old.",0,0.11,Low
OIL-UC-1032,Jorhat Operations,Shift changeover check,"Bicycle/scooter parking area near Fire Station found with uneven surface in one corner, away from any vehicle movement path, noted 11 days ago.",0,0.13,Low
OIL-UC-1033,Moran Oilfield,Routine inspection round,Security logbook near Rig Floor Catwalk / V-Door found with a supply gap (pen missing) for about 35 hours; log itself was maintained without interruption.,0,0.11,Low
OIL-UC-1034,Offshore Rig-04,Shift changeover check,"Minor rust patch observed on a non-structural roof panel near Drill Floor, no leak or structural concern identified over 9 months of monitoring.",0,0.14,Low
OIL-UC-1035,Guwahati Pipeline Station,Scheduled maintenance walkdown,"Break-room refrigerator near SCADA Control Room found running slightly warm (5 degrees above setpoint), no food-safety incident reported.",0,0.14,Low
OIL-UC-1036,Duliajan Oilfield,Emergency-readiness drill prep,Signage near Workover Rig Site directing to the muster point found slightly faded but still legible from 33 metres.,0,0.04,Low
OIL-UC-1037,Digboi Refinery,Scheduled maintenance walkdown,"Non-critical spare-parts bin near LPG Bottling Plant found unlabeled for approximately 10 weeks, contents still identifiable by staff.",0,0.12,Low
OIL-UC-1038,Jorhat Operations,Audit/compliance walkthrough,Low-traffic footpath near Fire Station found with overgrown vegetation encroaching about 18 cm into the walkway.,0,0.14,Low
OIL-UC-1039,Moran Oilfield,Emergency-readiness drill prep,Notice board near Mud Logging Cabin found with 36 outdated circulars still pinned alongside current ones.,0,0.12,Low
OIL-UC-1040,Offshore Rig-04,Contractor oversight visit,Noticeboard near Moon Pool Area displaying a safety poster overdue for its 27-month scheduled update.,0,0.11,Low
OIL-UC-1041,Guwahati Pipeline Station,Scheduled maintenance walkdown,"Walkway near TTPA (Tank Truck Parking Area) found with a small patch of loose gravel, 9 metres from any vehicle or process route.",0,0.06,Low
OIL-UC-1042,Duliajan Oilfield,Audit/compliance walkthrough,"Storage shelf near Wellhead Cluster 3 found with non-hazardous spares stacked slightly above the marked height line, about 39 cm over.",0,0.06,Low
OIL-UC-1043,Digboi Refinery,Contractor oversight visit,"Chair in the rest area near Naphtha Splitter Unit found with a slightly loose leg, wobble noted but stable under normal use, reported 6 days ago.",0,0.11,Low
OIL-UC-1044,Jorhat Operations,Emergency-readiness drill prep,"Faded lane-marking paint observed near the Central Workshop parking area, visibility reduced by roughly 4%.",0,0.07,Low
OIL-UC-1045,Moran Oilfield,Contractor oversight visit,"Small water stain noted on a ceiling tile near Mud Logging Cabin, traced to an old, now-repaired roof leak; no active leak for over 19 weeks.",0,0.09,Low
OIL-UC-1046,Offshore Rig-04,Audit/compliance walkthrough,"Visitor log near Main Deck Crane found with 38 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",0,0.09,Low
OIL-UC-1047,Guwahati Pipeline Station,Scheduled maintenance walkdown,"Garden hose found coiled loosely across a low-traffic pedestrian path near TTPA (Tank Truck Parking Area), left out for approximately 28 hours.",0,0.04,Low
OIL-UC-1048,Duliajan Oilfield,Pre-operation verification,"Lint buildup observed inside a utility dryer vent near Perforating Gun Store, last cleaned approximately 24 months ago.",0,0.08,Low
OIL-UC-1049,Digboi Refinery,Routine inspection round,"Utility shelf near Naphtha Splitter Unit found with cleaning supplies stacked neatly but close to the marked capacity line, about 8% full.",0,0.08,Low
OIL-UC-1050,Jorhat Operations,Scheduled maintenance walkdown,"Small puddle of rainwater observed near Diesel Fuel Island, 8 metres away from any electrical or process equipment.",0,0.05,Low
OIL-UC-1051,Moran Oilfield,Pre-operation verification,"Outdated version of a general facility map displayed near Well Test Separator, superseded layout approximately 10 months old.",0,0.05,Low
OIL-UC-1052,Offshore Rig-04,Pre-operation verification,"Bicycle/scooter parking area near Helideck found with uneven surface in one corner, away from any vehicle movement path, noted 6 days ago.",0,0.14,Low
OIL-UC-1053,Guwahati Pipeline Station,Contractor oversight visit,Security logbook near Mainline Block Valve Station found with a supply gap (pen missing) for about 5 hours; log itself was maintained without interruption.,0,0.16,Low
OIL-UC-1054,Duliajan Oilfield,Scheduled maintenance walkdown,"Minor rust patch observed on a non-structural roof panel near Workover Rig Site, no leak or structural concern identified over 17 months of monitoring.",0,0.08,Low
OIL-UC-1055,Digboi Refinery,Routine inspection round,"Break-room refrigerator near Ethanol Storage Tanks found running slightly warm (27 degrees above setpoint), no food-safety incident reported.",0,0.05,Low
OIL-UC-1056,Jorhat Operations,Emergency-readiness drill prep,Signage near Compressed Gas Store directing to the muster point found slightly faded but still legible from 18 metres.,0,0.13,Low
OIL-UC-1057,Moran Oilfield,Contractor oversight visit,"Non-critical spare-parts bin near Well Test Separator found unlabeled for approximately 37 weeks, contents still identifiable by staff.",0,0.12,Low
OIL-UC-1058,Offshore Rig-04,Scheduled maintenance walkdown,Low-traffic footpath near Helideck found with overgrown vegetation encroaching about 20 cm into the walkway.,0,0.16,Low
