report_id,report_type,site,activity,barrier_failure,iogp_life_saving_rule,description_raw,description_clean,model_text,risk_level,sif_potential
NM_0278,Near Miss,Truck loading bay,Scaffold modification,Excavation edge was not barricaded and underground utility mark-out was incomplete,Working at Height,Inspection revealed Excavation edge was not barricaded and underground utility mark-out was incomplete during Scaffold modification at Truck loading bay. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.,Inspection revealed Excavation edge was not barricaded and underground utility mark-out was incomplete during Scaffold modification at Truck loading bay. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.,[REPORT_TYPE] Near Miss [SITE] Truck loading bay [ACTIVITY] Scaffold modification [BARRIER_FAILURE] Excavation edge was not barricaded and underground utility mark-out was incomplete [IOGP_RULE] Working at Height [TEXT] Inspection revealed Excavation edge was not barricaded and underground utility mark-out was incomplete during Scaffold modification at Truck loading bay. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.,Medium,0
NM_0343,Near Miss,Maintenance yard,Lifting and rigging,Isolation not verified,Energy Isolation,"Before/during Lifting and rigging at Maintenance yard, Isolation not verified. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.","Before/during Lifting and rigging at Maintenance yard, Isolation not verified. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.","[REPORT_TYPE] Near Miss [SITE] Maintenance yard [ACTIVITY] Lifting and rigging [BARRIER_FAILURE] Isolation not verified [IOGP_RULE] Energy Isolation [TEXT] Before/during Lifting and rigging at Maintenance yard, Isolation not verified. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.",Medium,0
NM_0231,Near Miss,Compressor station,Wellhead valve maintenance,Drain cover was open and combustible vapour testing was not documented,Hot Work,"During Wellhead valve maintenance at Compressor station, Drain cover was open and combustible vapour testing was not documented. Work was stopped temporarily and resumed after verification. Work was temporarily halted pending verification of the control measure.","During Wellhead valve maintenance at Compressor station, Drain cover was open and combustible vapour testing was not documented. Work was stopped temporarily and resumed after verification. Work was temporarily halted pending verification of the control measure.","[REPORT_TYPE] Near Miss [SITE] Compressor station [ACTIVITY] Wellhead valve maintenance [BARRIER_FAILURE] Drain cover was open and combustible vapour testing was not documented [IOGP_RULE] Hot Work [TEXT] During Wellhead valve maintenance at Compressor station, Drain cover was open and combustible vapour testing was not documented. Work was stopped temporarily and resumed after verification. Work was temporarily halted pending verification of the control measure.",Medium,0
NM_0365,Near Miss,LPG bottling plant,Loading/unloading operations,Lift plan missing,Safe Mechanical Lifting,"Before/during Loading/unloading operations at LPG bottling plant, Lift plan missing. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.","Before/during Loading/unloading operations at LPG bottling plant, Lift plan missing. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.","[REPORT_TYPE] Near Miss [SITE] LPG bottling plant [ACTIVITY] Loading/unloading operations [BARRIER_FAILURE] Lift plan missing [IOGP_RULE] Safe Mechanical Lifting [TEXT] Before/during Loading/unloading operations at LPG bottling plant, Lift plan missing. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.",Medium,0
NM_0162,Near Miss,Wellsite,Forklift pallet handling,Pneumatic energy isolation was not locked and residual pressure remained in the line,Energy Isolation,"Near-miss observation: while performing Forklift pallet handling at Wellsite, the team found that Pneumatic energy isolation was not locked and residual pressure remained in the line. The area was corrected immediately. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","Near-miss observation: while performing Forklift pallet handling at Wellsite, the team found that Pneumatic energy isolation was not locked and residual pressure remained in the line. The area was corrected immediately. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","[REPORT_TYPE] Near Miss [SITE] Wellsite [ACTIVITY] Forklift pallet handling [BARRIER_FAILURE] Pneumatic energy isolation was not locked and residual pressure remained in the line [IOGP_RULE] Energy Isolation [TEXT] Near-miss observation: while performing Forklift pallet handling at Wellsite, the team found that Pneumatic energy isolation was not locked and residual pressure remained in the line. The area was corrected immediately. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Low,0
NM_0694,Near Miss,LPG bottling plant,Process unit startup/shutdown,Exclusion zone missing,Line of Fire,"A Exclusion zone missing was identified during Process unit startup/shutdown at LPG bottling plant. Work was stopped urgently and emergency response was initiated. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","A Exclusion zone missing was identified during Process unit startup/shutdown at LPG bottling plant. Work was stopped urgently and emergency response was initiated. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","[REPORT_TYPE] Near Miss [SITE] LPG bottling plant [ACTIVITY] Process unit startup/shutdown [BARRIER_FAILURE] Exclusion zone missing [IOGP_RULE] Line of Fire [TEXT] A Exclusion zone missing was identified during Process unit startup/shutdown at LPG bottling plant. Work was stopped urgently and emergency response was initiated. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",Critical,1
NM_0205,Near Miss,Gas processing unit,Lifting valve actuator,Atmosphere not tested,Confined Space,"Near-miss observation: while performing Lifting valve actuator at Gas processing unit, the team found that Atmosphere not tested. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.","Near-miss observation: while performing Lifting valve actuator at Gas processing unit, the team found that Atmosphere not tested. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.","[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Lifting valve actuator [BARRIER_FAILURE] Atmosphere not tested [IOGP_RULE] Confined Space [TEXT] Near-miss observation: while performing Lifting valve actuator at Gas processing unit, the team found that Atmosphere not tested. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.",Medium,0
NM_0513,Near Miss,Refinery unit,Sampling and testing,Exclusion zone missing,Line of Fire,"During Sampling and testing at Refinery unit, Exclusion zone missing. Work was stopped due to potential serious injury risk. Work was halted due to high-risk exposure and corrective measures were implemented.","During Sampling and testing at Refinery unit, Exclusion zone missing. Work was stopped due to potential serious injury risk. Work was halted due to high-risk exposure and corrective measures were implemented.","[REPORT_TYPE] Near Miss [SITE] Refinery unit [ACTIVITY] Sampling and testing [BARRIER_FAILURE] Exclusion zone missing [IOGP_RULE] Line of Fire [TEXT] During Sampling and testing at Refinery unit, Exclusion zone missing. Work was stopped due to potential serious injury risk. Work was halted due to high-risk exposure and corrective measures were implemented.",High,1
NM_0286,Near Miss,LPG bottling plant,Vessel entry preparation,PPE not used,Confined Space,"Before/during Vessel entry preparation at LPG bottling plant, PPE not used. The job proceeded only after corrective measures. The supervisor reviewed the situation and approved continuation after correction.","Before/during Vessel entry preparation at LPG bottling plant, PPE not used. The job proceeded only after corrective measures. The supervisor reviewed the situation and approved continuation after correction.","[REPORT_TYPE] Near Miss [SITE] LPG bottling plant [ACTIVITY] Vessel entry preparation [BARRIER_FAILURE] PPE not used [IOGP_RULE] Confined Space [TEXT] Before/during Vessel entry preparation at LPG bottling plant, PPE not used. The job proceeded only after corrective measures. The supervisor reviewed the situation and approved continuation after correction.",Medium,0
NM_0464,Near Miss,Drilling rig,Reversing vehicle operations,Spill containment missing,Driving,A Spill containment missing was identified during Reversing vehicle operations at Drilling rig. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,A Spill containment missing was identified during Reversing vehicle operations at Drilling rig. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,[REPORT_TYPE] Near Miss [SITE] Drilling rig [ACTIVITY] Reversing vehicle operations [BARRIER_FAILURE] Spill containment missing [IOGP_RULE] Driving [TEXT] A Spill containment missing was identified during Reversing vehicle operations at Drilling rig. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,High,1
