report_id,site,activity,description_raw,sif_probability,binary_sif,priority
NM_0278,Truck loading bay,Scaffold modification,Inspection revealed Excavation edge was not barricaded and underground utility mark-out was incomplete during Scaffold modification at Truck loading bay. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.,0.008805402,0,Low
NM_0343,Maintenance yard,Lifting and rigging,"Before/during Lifting and rigging at Maintenance yard, Isolation not verified. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.",0.017692449,0,Low
NM_0231,Compressor station,Wellhead valve maintenance,"During Wellhead valve maintenance at Compressor station, Drain cover was open and combustible vapour testing was not documented. Work was stopped temporarily and resumed after verification. Work was temporarily halted pending verification of the control measure.",0.040526755,0,Low
NM_0365,LPG bottling plant,Loading/unloading operations,"Before/during Loading/unloading operations at LPG bottling plant, Lift plan missing. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.",0.0012301918,0,Low
NM_0162,Wellsite,Forklift pallet handling,"Near-miss observation: while performing Forklift pallet handling at Wellsite, the team found that Pneumatic energy isolation was not locked and residual pressure remained in the line. The area was corrected immediately. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",0.023856035,0,Low
NM_0694,LPG bottling plant,Process unit startup/shutdown,"A Exclusion zone missing was identified during Process unit startup/shutdown at LPG bottling plant. Work was stopped urgently and emergency response was initiated. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",0.9559583,1,Critical
NM_0205,Gas processing unit,Lifting valve actuator,"Near-miss observation: while performing Lifting valve actuator at Gas processing unit, the team found that Atmosphere not tested. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.",0.01879474,0,Low
NM_0513,Refinery unit,Sampling and testing,"During Sampling and testing at Refinery unit, Exclusion zone missing. Work was stopped due to potential serious injury risk. Work was halted due to high-risk exposure and corrective measures were implemented.",0.116960354,0,Low
NM_0286,LPG bottling plant,Vessel entry preparation,"Before/during Vessel entry preparation at LPG bottling plant, PPE not used. The job proceeded only after corrective measures. The supervisor reviewed the situation and approved continuation after correction.",0.026288858,0,Low
NM_0464,Drilling rig,Reversing vehicle operations,A Spill containment missing was identified during Reversing vehicle operations at Drilling rig. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,0.98051286,1,Critical
